Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
ASE1,In01,100,0,0,0,0,0
ASE1,In02,100,0,0,0,0,0
ASE1,In03,100,0,0,0,0,0
ASE1,In04,100,0,0,0,0,0
ASE1,In05,100,0,0,0,0,0
ASE1,In06,100,0,0,0,0,0
ASE1,In07,100,0,0,0,0,0
ASE1,In08,100,0,0,0,0,0
ASE1,In09,100,0,0,0,0,0
ASE1,In10,100,0,0,0,0,0
ASE1,In11,100,0,0,0,0,0
ASE1,In12,100,0,0,0,0,0
ASE1,In13,100,0,0,0,0,0
ASE1,In14,100,0,0,0,0,0
ASE1,In15,100,0,0,0,0,0
ASE1,In16,100,0,0,0,0,0
ASE1,In17,100,0,0,0,0,0
ASE1,In18,100,0,0,0,0,0
ASE1,In19,100,0,0,0,0,0
ASE1,In20,100,0,0,0,0,0
ASE1,In21,100,0,0,0,0,0
ASE1,In22,100,0,0,0,0,0
ASE1,In23,100,0,0,0,0,0
ASE1,In24,100,0,0,0,0,0
ASE1,In25,100,0,0,0,0,0
ASE1,In26,100,0,0,0,0,0
ASE1,In27,100,0,0,0,0,0
ASE1,In28,100,0,0,0,0,0
ASE1,In29,100,0,0,0,0,0
ASE1,In30,100,0,0,0,0,0
ASE1,In31,100,0,0,0,0,0
ASE1,In32,100,0,0,0,0,0
ASE1,In33,100,0,0,0,0,0
ASE1,In34,100,0,0,0,0,0
ASE1,In35,100,0,0,0,0,0
ASE1,In36,100,0,0,0,0,0
ASE1,In37,100,0,0,0,0,0
ASE1,In38,100,0,0,0,0,0
ASE1,In39,100,0,0,0,0,0
ASE1,In40,100,0,0,0,0,0
ASE1,In41,100,0,0,0,0,0
ASE1,In42,100,0,0,0,0,0
ASE1,In43,100,0,0,0,0,0
ASE1,In44,100,0,0,0,0,0
ASE1,In45,100,0,0,0,0,0
ASE1,In46,100,0,0,0,0,0
ASE2,In01,100,0,0,0,0,0
ASE2,In02,100,0,0,0,0,0
ASE2,In03,100,0,0,0,0,0
ASE2,In04,100,0,0,0,0,0
ASE2,In05,100,0,0,0,0,0
ASE2,In06,100,0,0,0,0,0
ASE2,In07,100,0,0,0,0,0
ASE2,In08,100,0,0,0,0,0
ASE2,In09,100,0,0,0,0,0
ASE2,In10,100,0,0,0,0,0
ASE2,In11,100,0,0,0,0,0
ASE2,In12,100,0,0,0,0,0
ASE2,In13,100,0,0,0,0,0
ASE2,In14,100,0,0,0,0,0
ASE2,In15,100,0,0,0,0,0
ASE2,In17,100,0,0,0,0,0
ASE2,In19,100,0,0,0,0,0
ASE2,In20,100,0,0,0,0,0
ASE2,In21,100,0,0,0,0,0
ASE2,In22,100,0,0,0,0,0
ASE2,In23,100,0,0,0,0,0
ASE2,In24,100,0,0,0,0,0
ASE2,In25,100,0,0,0,0,0
ASE2,In26,100,0,0,0,0,0
ASE2,In27,100,0,0,0,0,0
ASE2,In28,100,0,0,0,0,0
ASE2,In29,100,0,0,0,0,0
ASE2,In30,100,0,0,0,0,0
ASE2,In32,100,0,0,0,0,0
ASE2,In33,100,0,0,0,0,0
ASE2,In34,100,0,0,0,0,0
ASE2,In35,100,0,0,0,0,0
ASE2,In36,100,0,0,0,0,0
ASE2,In37,100,0,0,0,0,0
ASE2,In38,100,0,0,0,0,0
ASE2,In39,100,0,0,0,0,0
ASE2,In40,100,0,0,0,0,0
ASE2,In41,100,0,0,0,0,0
ASE2,In42,100,0,0,0,0,0
ASE2,In43,100,0,0,0,0,0
ASE3,In01,100,0,0,0,0,0
ASE3,In02,100,0,0,0,0,0
ASE3,In03,100,0,0,0,0,0
ASE3,In04,100,0,0,0,0,0
ASE3,In05,100,0,0,0,0,0
ASE3,In06,100,0,0,0,0,0
ASE3,In07,100,0,0,0,0,0
ASE3,In08,100,0,0,0,0,0
ASE3,In09,100,0,0,0,0,0
ASE3,In10,100,0,0,0,0,0
ASE3,In11,100,0,0,0,0,0
ASE3,In12,100,0,0,0,0,0
ASE3,In13,100,0,0,0,0,0
ASE3,In14,100,0,0,0,0,0
ASE3,In15,100,0,0,0,0,0
ASE3,In17,100,0,0,0,0,0
ASE3,In19,100,0,0,0,0,0
ASE3,In20,100,0,0,0,0,0
ASE3,In21,100,0,0,0,0,0
ASE3,In22,100,0,0,0,0,0
ASE3,In23,100,0,0,0,0,0
ASE3,In24,100,0,0,0,0,0
ASE3,In25,100,0,0,0,0,0
ASE3,In26,100,0,0,0,0,0
ASE3,In27,100,0,0,0,0,0
ASE3,In28,100,0,0,0,0,0
ASE3,In29,100,0,0,0,0,0
ASE3,In30,100,0,0,0,0,0
ASE3,In32,100,0,0,0,0,0
ASE3,In33,100,0,0,0,0,0
ASE3,In34,100,0,0,0,0,0
ASE3,In35,100,0,0,0,0,0
ASE3,In36,100,0,0,0,0,0
ASE3,In37,100,0,0,0,0,0
ASE3,In38,100,0,0,0,0,0
ASE3,In39,100,0,0,0,0,0
ASE3,In40,100,0,0,0,0,0
ASE3,In41,100,0,0,0,0,0
ASE3,In42,100,0,0,0,0,0
ASE3,In43,100,0,0,0,0,0
ASE4,In01,100,0,0,0,0,0
ASE4,In02,100,0,0,0,0,0
ASE4,In03,100,0,0,0,0,0
ASE4,In04,100,0,0,0,0,0
ASE4,In05,100,0,0,0,0,0
ASE4,In06,100,0,0,0,0,0
ASE4,In07,100,0,0,0,0,0
ASE4,In08,100,0,0,0,0,0
ASE4,In09,100,0,0,0,0,0
ASE4,In10,100,0,0,0,0,0
ASE4,In11,100,0,0,0,0,0
ASE4,In12,100,0,0,0,0,0
ASE4,In13,100,0,0,0,0,0
ASE4,In14,100,0,0,0,0,0
ASE4,In15,100,0,0,0,0,0
ASE4,In17,100,0,0,0,0,0
ASE4,In19,100,0,0,0,0,0
ASE4,In20,100,0,0,0,0,0
ASE4,In21,100,0,0,0,0,0
ASE4,In22,100,0,0,0,0,0
ASE4,In23,100,0,0,0,0,0
ASE4,In24,100,0,0,0,0,0
ASE4,In25,100,0,0,0,0,0
ASE4,In26,100,0,0,0,0,0
ASE4,In27,100,0,0,0,0,0
ASE4,In28,100,0,0,0,0,0
ASE4,In29,100,0,0,0,0,0
ASE4,In30,100,0,0,0,0,0
ASE4,In32,100,0,0,0,0,0
ASE4,In33,100,0,0,0,0,0
ASE4,In34,100,0,0,0,0,0
ASE4,In35,100,0,0,0,0,0
ASE4,In36,100,0,0,0,0,0
ASE4,In37,100,0,0,0,0,0
ASE4,In38,100,0,0,0,0,0
ASE4,In39,100,0,0,0,0,0
ASE4,In40,100,0,0,0,0,0
ASE4,In41,100,0,0,0,0,0
ASE4,In42,100,0,0,0,0,0
ASE4,In43,100,0,0,0,0,0
ASE5,In01,100,0,0,0,0,0
ASE5,In02,100,0,0,0,0,0
ASE5,In03,100,0,0,0,0,0
ASE5,In04,100,0,0,0,0,0
ASE5,In05,100,0,0,0,0,0
ASE5,In06,100,0,0,0,0,0
ASE5,In07,100,0,0,0,0,0
ASE5,In08,100,0,0,0,0,0
ASE5,In09,100,0,0,0,0,0
ASE5,In10,100,0,0,0,0,0
ASE5,In11,100,0,0,0,0,0
ASE5,In12,100,0,0,0,0,0
ASE5,In13,100,0,0,0,0,0
ASE5,In14,100,0,0,0,0,0
ASE5,In15,100,0,0,0,0,0
ASE5,In17,100,0,0,0,0,0
ASE5,In19,100,0,0,0,0,0
ASE5,In20,100,0,0,0,0,0
ASE5,In21,100,0,0,0,0,0
ASE5,In22,100,0,0,0,0,0
ASE5,In23,100,0,0,0,0,0
ASE5,In24,100,0,0,0,0,0
ASE5,In25,100,0,0,0,0,0
ASE5,In26,100,0,0,0,0,0
ASE5,In27,100,0,0,0,0,0
ASE5,In28,100,0,0,0,0,0
ASE5,In29,100,0,0,0,0,0
ASE5,In30,100,0,0,0,0,0
ASE5,In32,100,0,0,0,0,0
ASE5,In33,100,0,0,0,0,0
ASE5,In34,100,0,0,0,0,0
ASE5,In35,100,0,0,0,0,0
ASE5,In36,100,0,0,0,0,0
ASE5,In37,100,0,0,0,0,0
ASE5,In38,100,0,0,0,0,0
ASE5,In39,100,0,0,0,0,0
ASE5,In40,100,0,0,0,0,0
ASE5,In41,100,0,0,0,0,0
ASE5,In42,100,0,0,0,0,0
