Fault Detection,Mutant Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestSuite,0,1,2,3,4,5,6,7,8,9,10,100,101,103,104,105,106,107,108,109,11,110,12,13,14,15,16,17,18,19,20,21,22,23,24,25
F ,0,0,0,27,46,27,46,27,0,0,46,0,45,46,27,46,27,46,46,45,45,27,27,45,0,46,46,0,45,45,45,27,46,27,46,46
IN ,0,0,0,0,0,0,0,0,0,0,92,0,90,92,0,0,0,92,7,38,0,0,0,0,0,92,0,17,0,0,0,0,0,0,0,0
F+IN,0,0,0,27,46,27,46,27,0,0,138,0,135,138,27,46,27,138,53,83,45,27,27,45,0,138,46,17,45,45,45,27,46,27,46,46
INwRC,0,27,0,54,0,54,46,54,0,27,92,0,90,92,27,46,0,92,46,90,45,27,54,0,0,92,54,46,45,0,0,54,46,0,54,0
IR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN+IR,0,27,0,54,0,54,46,54,0,27,92,0,90,92,27,46,0,92,46,90,45,27,54,0,0,92,54,46,45,0,0,54,46,0,54,0
F+IN+IR,0,27,0,81,46,81,92,81,0,27,138,0,135,138,54,92,27,138,92,135,90,54,81,45,0,138,100,46,90,45,45,81,92,27,100,46
S ,0,0,0,291,330,170,268,243,0,0,222,0,204,277,97,268,140,228,298,204,201,178,221,224,0,228,335,150,204,152,177,157,268,160,335,329
Mutant not detected,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Note,Org,,,,,,,,Error,,,Org,,,,,,,,,,,,,Error,,,,,,,,,,,
Specification detected only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Invariant detecton only,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deterministic Failures Only,Mutant Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestSuite,0,1,2,3,4,5,6,7,8,9,10,100,101,103,104,105,106,107,108,109,11,110,12,13,14,15,16,17,18,19,20,21,22,23,24,25
F ,0,0,0,27,46,27,46,25,0,0,46,0,45,46,27,46,27,46,46,42,45,27,25,45,0,46,46,0,45,44,45,25,46,27,46,46
IN ,0,0,0,0,0,0,0,0,0,0,68,0,82,92,0,0,0,92,0,28,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
F+IN,0,0,0,27,46,27,46,25,0,0,114,0,127,138,27,46,27,138,46,70,45,27,25,45,0,138,46,0,45,44,45,25,46,27,46,46
INwRC,0,26,0,54,0,54,46,50,0,26,92,0,90,92,27,46,0,92,46,80,45,27,50,0,0,92,54,46,45,0,0,50,46,0,54,0
IR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN+IR,0,26,0,54,0,54,46,50,0,26,92,0,90,92,27,46,0,92,46,80,45,27,50,0,0,92,54,46,45,0,0,50,46,0,54,0
F+IN+IR,0,26,0,81,46,81,92,75,0,26,138,0,135,138,54,92,27,138,92,122,90,54,75,45,0,138,100,46,90,44,45,75,92,27,100,46
S,0,0,0,206,164,112,268,150,0,0,204,0,201,99,94,268,65,228,150,182,126,178,148,156,0,228,194,0,204,98,111,108,268,160,194,160
Mutant not detected,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# VALID,F,,,IN,,,F+IN,,,EQ,,,IR,,,EQ+IR,,,ALL,,,M,,,Missed,,DistinctDetection,,,,,,,,,
32,,% Detect,% Flky,,% Det,% Flky,,% Det,% Flky,,% Det,% Flky,,% Det,% Flky,,% Det,% Flky,,% Det,% Flky,,% Det,% Flky,Detect,Determinstic,SpOnly,InvOnly,,,,,,,,
# ERROR,,87.50%,0.00%,,25.00%,6.30%,,90.60%,3.10%,,75.00%,0.00%,,0.00%,0.00%,,75.00%,0.00%,,96.90%,0.00%,,90.60%,3.10%,1,1,0,2,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
